N,NRedAdd,NRedAdd_task2,NRedAdd_task3,NRedAdd_task2&3,ORedAdd,ORedAdd_task2,ORedAdd_task3,ORedAdd_task3&4,NRedMssp,NRedMssp_task2,NRedMssp_task3,NRedMssp_task2&3,ORedMssp,ORedMssp_task2,ORedMssp_task3,ORedMssp_task2&3,Scan,Scan_task2,Scan_task3,Scan_task2&3,SmgScan,SmgScan_task2,SmgScan_task3,SmgScan_task2&3
100000000,350.57,349.96,349.96,349.96,1069.52,1069.52,1078.17,1078.17,111.73,111.67,111.67,111.7,277.78,421.5,339.56,605.14,329.76,962.31,343.54,1120.45,462.05,1040.89,461.89,1038.58
50000000,335.57,333.89,335.57,335.57,1052.63,1052.63,1069.52,1069.52,110.01,109.89,110.01,110.01,282.89,434.78,341.3,626.96,329.67,985.22,345.62,1115.24,458.42,1014.49,458.12,1015.97
10000000,180.18,187.79,179.37,228.57,833.33,833.33,952.38,952.38,83.16,82.82,82.82,83.33,251.57,360.36,305.34,506.33,314.96,794.7,336.13,909.09,433.44,864.2,433.44,864.2
5000000,198.02,196.08,198.02,200.0,1000.0,1000.0,1538.46,1538.46,75.19,74.91,75.76,75.47,235.29,322.58,294.12,476.19,292.68,731.71,327.87,845.07,424.24,875.0,424.24,769.23
1000000,50.0,46.51,49.38,50.0,266.67,266.67,500.0,500.0,50.0,48.78,48.19,50.0,133.33,181.82,181.82,266.67,222.22,500.0,260.87,600.0,350.0,736.84,350.0,736.84
500000,26.32,24.1,26.67,26.67,133.33,133.33,250.0,250.0,26.32,24.39,25.97,25.97,105.26,125.0,153.85,181.82,176.47,315.79,214.29,400.0,259.26,437.5,259.26,437.5
100000,5.88,5.48,5.97,5.97,40.0,40.0,50.0,50.0,5.97,5.48,6.06,5.71,21.05,26.67,30.77,40.0,41.38,66.67,50.0,85.71,66.67,93.33,66.67,93.33
50000,3.13,2.9,3.13,3.17,25.0,22.22,25.0,25.0,3.17,2.9,3.17,3.08,11.11,13.33,16.67,20.0,20.69,33.33,25.0,42.86,35.0,46.67,33.33,46.67
10000,0.73,0.66,0.73,0.7,5.0,4.44,5.0,5.0,0.73,0.67,0.73,0.71,2.22,2.67,3.33,4.0,4.29,7.06,5.22,8.0,7.0,9.33,6.67,9.33
